Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,102265,CHN,W,DING Ning,3521,3537,0,12,2016
2,2,105482,CHN,W,LIU Shiwen,3415,3439,0,12,2016
3,3,105350,CHN,W,LI Xiaoxia,3285,3293,0,12,2016
4,4,117332,CHN,W,ZHU Yuling,3187,3219,0,12,2016
5,6,110752,JPN,W,ISHIKAWA Kasumi,3151,3100,0,12,2016
6,5,102712,SGP,W,FENG Tianwei,3143,3151,0,12,2016
7,7,110797,TPE,W,CHENG I-Ching,3072,3059,0,12,2016
8,8,118762,GER,W,HAN Ying,3042,3032,0,12,2016
9,11,117821,JPN,W,ITO Mima,3021,2974,0,12,2016
10,10,112019,CHN,W,CHEN Meng,2988,3004,0,12,2016
11,9,117820,JPN,W,HIRANO Miu,2986,3006,0,12,2016
12,12,102876,JPN,W,FUKUHARA Ai,2944,2964,0,12,2016
13,14,118994,KOR,W,JEON Jihee,2924,2927,0,12,2016
13,18,113161,TUR,W,HU Melek,2924,2851,0,12,2016
15,13,111628,SGP,W,YU Mengyu,2923,2935,0,12,2016
16,15,109421,HKG,W,TIE Yana,2869,2881,0,12,2016
17,16,115543,HKG,W,DOO Hoi Kem,2862,2872,0,12,2016
18,17,111065,GER,W,SOLJA Petrissa,2852,2852,0,12,2016
19,26,108470,KOR,W,SUH Hyowon,2850,2791,0,12,2016
20,25,108226,ROU,W,SAMARA Elizabeta,2839,2792,0,12,2016
21,19,105469,AUT,W,LIU Jia,2830,2842,0,12,2016
22,20,111849,GER,W,SHAN ^ Xiaona,2821,2834,0,12,2016
23,36,117819,JPN,W,HAMAMOTO ^^ Yui,2812,2691,0,12,2016
24,24,123672,JPN,W,HAYATA Hina,2804,2803,0,12,2016
25,23,122261,JPN,W,SATO Hitomi,2801,2805,0,12,2016
26,22,105159,HKG,W,LEE Ho Ching,2796,2811,0,12,2016
27,27,111772,NED,W,LI Jie,2788,2787,0,12,2016
28,21,131342,SGP,W,ZENG ^^ Jian,2784,2814,0,12,2016
29,31,103927,JPN,W,ISHIGAKI Yuka,2779,2746,0,12,2016
30,29,115781,PRK,W,KIM Song I,2768,2768,0,12,2016
31,28,112368,KOR,W,YANG Haeun,2766,2774,0,12,2016
32,30,102863,POR,W,YU ^ Fu,2760,2761,0,12,2016
33,32,118787,SGP,W,ZHOU ^ Yihan,2751,2743,0,12,2016
