Rank,Previous,ID,Assoc,Gender,Name,Points,Previous Points,WeekNum,MonthNum,YearNum
1,1,121404,CHN,M,FAN Zhendong,17001,17751,1,0,2019
2,2,110267,CHN,M,XU Xin,15835,15835,1,0,2019
3,5,123980,JPN,M,HARIMOTO Tomokazu,14625,13860,1,0,2019
4,4,115910,CHN,M,LIN Gaoyuan,14596,14341,1,0,2019
5,3,101222,GER,M,BOLL Timo,14065,14575,1,0,2019
6,6,115641,BRA,M,CALDERANO Hugo,13955,13190,1,0,2019
7,7,105197,KOR,M,LEE Sangsu,13359,13179,1,0,2019
8,8,112620,HKG,M,WONG Chun Ting,12669,12924,1,0,2019
9,10,110729,JPN,M,NIWA Koki,12466,12466,1,0,2019
10,13,106195,JPN,M,MIZUTANI Jun,12165,11205,1,0,2019
11,15,114936,KOR,M,JANG Woojin,11939,11054,1,0,2019
12,11,105649,CHN,M,MA Long,11930,11930,1,0,2019
13,12,112074,SWE,M,FALCK Mattias,11713,11713,1,0,2019
14,9,107028,GER,M,OVTCHAROV Dimitrij,11533,12748,1,0,2019
15,14,102832,GER,M,FRANZISKA Patrick,11508,11103,1,0,2019
16,16,112442,ENG,M,PITCHFORD Liam,10940,10940,1,0,2019
17,20,117357,KOR,M,LIM Jonghoon,10914,10284,1,0,2019
18,19,112409,DEN,M,GROTH Jonathan,10613,10613,1,0,2019
19,17,101820,TPE,M,CHUANG Chih-Yuan,10393,10843,1,0,2019
20,36,119588,CHN,M,LIANG Jingkun,10299,8514,1,0,2019
21,21,111595,KOR,M,JEONG Sangeun,9989,9989,1,0,2019
22,22,104257,KOR,M,JEOUNG Youngsik,9867,9867,1,0,2019
23,18,108246,BLR,M,SAMSONOV Vladimir,9760,10840,1,0,2019
24,24,104379,SWE,M,KARLSSON Kristian,9485,9485,1,0,2019
25,25,102841,POR,M,FREITAS Marcos,9416,9416,1,0,2019
26,26,112092,NGR,M,ARUNA Quadri,9394,9394,1,0,2019
27,27,102761,GER,M,FILUS Ruwen,9218,9218,1,0,2019
28,28,117113,JPN,M,YOSHIMURA Maharu,9162,9162,1,0,2019
28,28,121582,TPE,M,LIN Yun-Ju,9162,9162,1,0,2019
30,30,104314,IND,M,ACHANTA Sharath Kamal,9118,9118,1,0,2019
31,31,103126,IND,M,GNANASEKARAN Sathiyan,9030,9030,1,0,2019
32,32,110730,JPN,M,UEDA Jin,9024,9024,1,0,2019
33,33,121752,JPN,M,OSHIMA Yuya,8779,8779,1,0,2019
34,23,112062,FRA,M,GAUZY Simon,8701,9668,1,0,2019
35,34,101648,TPE,M,CHEN Chien-An,8585,8585,1,0,2019
36,37,109946,GER,M,WALTHER Ricardo,8448,8448,1,0,2019
37,38,105136,FRA,M,LEBESSON Emmanuel,8379,8379,1,0,2019
38,39,103345,AUT,M,HABESOHN Daniel,8322,8322,1,0,2019
39,40,100621,POR,M,APOLONIA Tiago,8067,8067,1,0,2019
40,42,113165,UKR,M,KOU Lei,7829,7829,1,0,2019
41,67,121408,CHN,M,LIU Dingshuo,7821,6291,1,0,2019
42,43,109581,BRA,M,TSUBOI Gustavo,7820,7820,1,0,2019
43,35,117890,KAZ,M,GERASSIMENKO Kirill,7743,8553,1,0,2019
44,44,103903,ROU,M,IONESCU Ovidiu,7649,7649,1,0,2019
45,45,116620,GER,M,DUDA Benedikt,7404,7404,1,0,2019
46,46,103107,GRE,M,GIONIS Panagiotis,7329,7329,1,0,2019
47,47,100696,EGY,M,ASSAR Omar,7263,7263,1,0,2019
48,48,112580,JPN,M,MORIZONO Masataka,7251,7251,1,0,2019
49,49,109459,SLO,M,TOKIC Bojan,7239,7239,1,0,2019
50,50,119284,KOR,M,CHO Seungmin,7188,7188,1,0,2019
51,51,116021,USA,M,JHA Kanak,7185,7185,1,0,2019
52,52,102968,AUT,M,GARDOS Robert,7174,7174,1,0,2019
53,53,119565,TPE,M,LIAO Cheng-Ting,7109,7109,1,0,2019
54,54,111050,ESP,M,ROBLES Alvaro,7108,7108,1,0,2019
55,55,108958,GER,M,STEGER Bastian,7066,7066,1,0,2019
56,56,107312,SWE,M,PERSSON Jon,7033,7033,1,0,2019
